rics_keyword_token,dimension_code,value_code
ZB,buyer,zb
AB,buyer,ab
AXB,buyer,axb
DM,buyer,dm
IBL,company,ibl
CXN,company,cxn
CCT,company,cct
MAGI,store_chain,magi
UNLI,store_chain,unli
FASH,store_chain,fash
10,discount_type,pct_10
20,discount_type,pct_20
25,discount_type,pct_25
30,discount_type,pct_30
40,discount_type,pct_40
45,discount_type,pct_45
50,discount_type,pct_50
60,discount_type,pct_60
70,discount_type,pct_70
80,discount_type,pct_80
85,discount_type,pct_85
90,discount_type,pct_90
2D15,discount_type,bogo_15
2D20,discount_type,bogo_20
2D30,discount_type,bogo_30
2D35,discount_type,bogo_35
2D40,discount_type,bogo_40
2D45,discount_type,bogo_45
2D50,discount_type,bogo_50
2D55,discount_type,bogo_55
2D60,discount_type,bogo_60
2D75,discount_type,bogo_75
2D99,discount_type,bogo_99
2X1,discount_type,multi_2x1
3X1,discount_type,multi_3x1
4X1,discount_type,multi_4x1
3X2,discount_type,multi_3x2
L19,discount_type,fixed_l19
L25,discount_type,fixed_l25
L29,discount_type,fixed_l29
L39,discount_type,fixed_l39
L49,discount_type,fixed_l49
L59,discount_type,fixed_l59
L69,discount_type,fixed_l69
L79,discount_type,fixed_l79
L99,discount_type,fixed_l99
L199,discount_type,fixed_l199
L299,discount_type,fixed_l299
L399,discount_type,fixed_l399
L499,discount_type,fixed_l499
L599,discount_type,fixed_l599
L1999,discount_type,fixed_l1999
