category_code,category_name,item_rows,units
301,Saco/Traje 2Bot UsfH,43,44
304,Pant Traje S/PlisesH,32,36
305,Pant. Vestir Caballe,94,115
306,Pant Casual  Caballe,70,79
308,Joggers/Capri Caball,5,8
309,Short Gral Caballero,28,30
311,Jeans Cintura Hombre,34,43
312,Jeans Cadera Hombre,1,1
313,Jeans Cint Fashion H,7,9
320,Cam M/C Botones USF,2,2
321,Cam M/L Botones USF,51,73
322,Camisa M/C USF,118,387
323,Camisa M/L USF,207,390
324,Camisa M/C Rayas,37,44
325,Camisa M/L Rayas,21,27
326,Camisa M/C Cuadros,13,15
327,Camisa M/L Cuadros,20,22
328,Camisa Fashion MC,19,21
329,Camisa Fashion ML,38,45
330,Guayabera y Cubayera,21,22
331,Camiseta M/C Estampa,17,18
332,Camiseta M/C Caballe,316,406
333,Camiseta M/L Caballe,65,89
334,Camiseta S/M Caballe,10,15
335,Camiseta Polo Estamp,11,14
336,Camiseta Polo USF,122,293
337,Camisetas Tshirt,1,1
338,Camiseta Polo RAY,11,11
341,Fajas Gral Caballero,34,34
342,Fajas Vestir,3,3
351,Gorras Gorros Caba,13,15
352,Boina Caballeros,2,2
355,Sombrero Caballero,2,3
361,Corbatas Gral Caball,51,79
362,Corbatas USF,6,7
381,Calcetin Vest USF,6,8
382,Calcetin Depo Caball,9,9
383,Calcetin Vest Diseno,9,11
421,Boxer Gral. Caballer,18,23
431,Pijamas Gral Caballe,3,3
442,Buzos Caballeros,4,4
461,Chumpas Gral Caballe,6,8
462,Chaqueta Tela Hombre,46,55
463,Chaquetas Jeans Homb,3,3
464,Chaquetas Cuero Homb,1,1
466,Sueter Caballeros,71,90
467,Centros Gral Cab.,11,11
470,Jeans Niño,9,11
472,Camisas Niño,12,12
473,Camiseta Niño,112,148
474,Ropa Interior Niño,11,15
475,Shorts/Jogger Niño,4,4
476,SuetersyChumpas Niño,6,9
481,Tirantes Caballeros,1,1
483,Maletas Hombre,4,4
485,Billeteras Caballero,3,3
492,Lentes Caballeros,2,2
498,Presa Corbata,3,3
