store,sku,row_label,column_label,column_index,on_hand,reason
99,BFC001S8128,-,46,8,-1,negative on-hand cannot receive
30,BSFD18011003C,30,32,5,-1,negative on-hand cannot receive
14,BSFD1801611861,32,32,5,-2,negative on-hand cannot receive
2,BSFD1801611865,32,34,7,-1,negative on-hand cannot receive
2,BSFD1801BRN,32,34,7,-1,negative on-hand cannot receive
99,BSFD1801JY12502,32,34,7,-1,negative on-hand cannot receive
2,BSFD1801S7503,30,35,8,-1,negative on-hand cannot receive
12,GSP1BK,30,31,4,-1,negative on-hand cannot receive
2,PTBFC001209253B,32,35,8,-1,negative on-hand cannot receive
29,PTBFC0018003NV,32,32,5,-1,negative on-hand cannot receive
29,375237Z40NV,,32,4,-1,negative on-hand cannot receive
2,375237Z48BK,,40,8,-1,negative on-hand cannot receive
29,375237Z51DGN,,36,6,-1,negative on-hand cannot receive
2,0660KH,30,30,3,-1,negative on-hand cannot receive
2,HCFY1801DKH,-,30,3,-1,negative on-hand cannot receive
99,SLIMFITBE,26,33,11,-1,negative on-hand cannot receive
30,8081BL,-,31,4,-1,negative on-hand cannot receive
2,8081BL,30,31,4,-1,negative on-hand cannot receive
99,LF20241DBL,30,30,3,-1,negative on-hand cannot receive
99,LF20241MBL,32,31,4,-1,negative on-hand cannot receive
99,LF20242GY,32,36,9,-1,negative on-hand cannot receive
99,LF20242LBL,32,34,7,-1,negative on-hand cannot receive
30,MD20236MLBL,30,31,4,-1,negative on-hand cannot receive
2,MD20237MBL,30,30,3,-1,negative on-hand cannot receive
99,MD2023B1BK,34,34,7,-1,negative on-hand cannot receive
99,MD2023B2MBL,32,33,6,-1,negative on-hand cannot receive
99,MD2023B3BK,32,32,5,-1,negative on-hand cannot receive
29,MD2023B3DBL,32,32,5,-1,negative on-hand cannot receive
99,MD2023B3DBL,32,36,9,-1,negative on-hand cannot receive
99,MD2023B4GY,30,28,1,-1,negative on-hand cannot receive
29,MD2023B4GY,34,33,6,-1,negative on-hand cannot receive
99,MD2023B4MBL,32,32,5,-1,negative on-hand cannot receive
14,BS20682BL,32,30,3,-1,negative on-hand cannot receive
15,40630B,-,34,10,-1,negative on-hand cannot receive
14,22026817MBL,32,28,1,-1,negative on-hand cannot receive
12,WC4351BN,,34,8,-1,negative on-hand cannot receive
2,382IDBL,32,36,9,-1,negative on-hand cannot receive
2,GB22341RWH,,XS,2,-1,negative on-hand cannot receive
14,GB22341RWH,,S,3,-1,negative on-hand cannot receive
14,GB223452SSBL,,M,4,-1,negative on-hand cannot receive
2,D0231SKBL2,,L,5,-1,negative on-hand cannot receive
30,BHM01MA,,XL,6,-1,negative on-hand cannot receive
14,BHM03WH,,S,3,-1,negative on-hand cannot receive
99,374116ZWH1,,XS,2,-1,negative on-hand cannot receive
99,374116ZWH1,,L,5,-1,negative on-hand cannot receive
99,86653PRT1,,XXL,7,-1,negative on-hand cannot receive
30,227688ALS4LBL,,M,4,-1,negative on-hand cannot receive
12,227688ALSLWH,,S,3,-1,negative on-hand cannot receive
99,227688LSBK,,M,4,-1,negative on-hand cannot receive
14,CCSF01WH,,M,4,-1,negative on-hand cannot receive
14,LRL002LS1301JBK,,XL,6,-1,negative on-hand cannot receive
14,375217Z28GNWH,,XL,6,-1,negative on-hand cannot receive
99,12164611L4OFWH,,L,5,-2,negative on-hand cannot receive
2,12171651LBK,,M,4,-1,negative on-hand cannot receive
14,CUBAPKTSWH,,L,5,-1,negative on-hand cannot receive
29,A0094BK,,XL,6,-1,negative on-hand cannot receive
99,SH105OL,,L,5,-1,negative on-hand cannot receive
30,01091208BL,,S,3,-1,negative on-hand cannot receive
99,SH111OFWH,,XS,2,-1,negative on-hand cannot receive
14,SH112TN,,M,4,-1,negative on-hand cannot receive
2,SH5JAYL1BK,,L,5,-1,negative on-hand cannot receive
14,12205959BN,,XL,6,-1,negative on-hand cannot receive
30,POLO4BKRYBL,,S,3,-1,negative on-hand cannot receive
2,POLO4NVWH,,M,4,-1,negative on-hand cannot receive
14,12215437BLK,,S,3,-1,negative on-hand cannot receive
2,12215437BLK,,XL,6,-2,negative on-hand cannot receive
2,12215437WHT,,L,5,-1,negative on-hand cannot receive
14,12221012BLK,,M,4,-1,negative on-hand cannot receive
30,12221012TBKRDWH,,S,3,-1,negative on-hand cannot receive
30,12221012WHT,,L,5,-1,negative on-hand cannot receive
2,12221012WHT,,TU,10,-1,negative on-hand cannot receive
2,MP24260LBNBK,,32,4,-1,negative on-hand cannot receive
99,BELT14BK,,38,7,-1,negative on-hand cannot receive
2,71934N5,,TU,1,-1,negative on-hand cannot receive
30,7203N7,,TU,1,-1,negative on-hand cannot receive
2,7205N2,,TU,1,-9,negative on-hand cannot receive
2,E11NV,,TU,1,-1,negative on-hand cannot receive
30,HP028N8,,TU,1,-1,negative on-hand cannot receive
30,HP028N9,,TU,1,-1,negative on-hand cannot receive
12,MSF3A,,TU,1,-1,negative on-hand cannot receive
12,12222165WH,,TU,1,-1,negative on-hand cannot receive
30,FABIAN003BKDGY,,M,4,-1,negative on-hand cannot receive
30,2393KH,,L,5,-1,negative on-hand cannot receive
2,BT24896BK,,18,10,-1,negative on-hand cannot receive
14,2695KH,,TU,1,-1,negative on-hand cannot receive
2,7066PRD,,TU,1,-1,negative on-hand cannot receive
12,116062BBK,,TU,1,-1,negative on-hand cannot receive
12,WALT20ABK,,TU,1,-1,negative on-hand cannot receive
