status,from_store_number,to_store_number,sku,row_label,column_label,rics_qty,generated_qty,delta
missing_from_generated,2,5,CCSF0464756WH,,L,1,0,-1
missing_from_generated,2,5,GZ272RSBL,,XL,1,0,-1
missing_from_generated,2,9,12170297BLPR,,L,1,0,-1
missing_from_generated,2,9,22023645BE,,L,1,0,-1
missing_from_generated,2,9,22023645GN,,S,1,0,-1
missing_from_generated,2,9,MF23709BK,,L,1,0,-1
extra_generated,2,12,12170297BLPR,,L,0,1,1
extra_generated,2,12,12199711CCLYL,,XS,0,1,1
extra_generated,2,12,22023645GN,,M,0,1,1
extra_generated,2,12,22023645GN,,S,0,1,1
missing_from_generated,2,12,BK22008BKGY,,10,1,0,-1
missing_from_generated,2,12,BMV41NVGY,,M,1,0,-1
missing_from_generated,2,12,CAMT03YBBGNV,,L,1,0,-1
missing_from_generated,2,12,CAMT05YBNVDGY,,XL,1,0,-1
missing_from_generated,2,12,CAMTKU02GNOL,,XS,1,0,-1
missing_from_generated,2,12,CAMTKU02OGGY,,XS,1,0,-1
missing_from_generated,2,12,CAMTKU02OLPR,,L,1,0,-1
missing_from_generated,2,12,CAMTKU02OLPR,,S,1,0,-1
missing_from_generated,2,12,CAMTKU02OLPR,,XL,1,0,-1
missing_from_generated,2,12,CAMTKU02OLPR,,XS,1,0,-1
extra_generated,2,12,CMTKV02BL,,S,0,1,1
extra_generated,2,12,CMTKV02SBL,,XL,0,1,1
extra_generated,2,12,CMTKV03BLGY,,S,0,1,1
extra_generated,2,12,CMTKV03SBLGY,,XL,0,1,1
extra_generated,2,12,CMTKV04BLBG,,L,0,1,1
missing_from_generated,2,12,CMTL07BLBKOG,,XS,1,0,-1
extra_generated,2,12,CMTL09GNRD,,M,0,1,1
extra_generated,2,12,CMTL09GNRD,,S,0,1,1
missing_from_generated,2,12,CTAMSF07,,L,1,0,-1
missing_from_generated,2,12,GZ272RSBL,,XL,1,0,-1
extra_generated,2,12,MF23709BK,,L,0,1,1
extra_generated,2,12,SH111BL,,L,0,1,1
missing_from_generated,2,12,SH4GN,,XS,1,0,-1
missing_from_generated,2,12,TSC149GY,,XL,2,0,-2
missing_from_generated,2,12,TSC149GY,,XXL,1,0,-1
missing_from_generated,2,12,TSC149WHBK,,XXL,1,0,-1
extra_generated,2,13,22023645BE,,L,0,1,1
extra_generated,2,13,375216Z38BNBK,,XL,0,1,1
missing_from_generated,2,13,BFC004S8153,-,48,1,0,-1
extra_generated,2,13,BK22015BE,,18,0,1,1
quantity_mismatch,2,13,BK22015RD,,14,1,2,1
quantity_mismatch,2,13,BK22040RDBK,,10,1,2,1
extra_generated,2,13,BMV41NVGY,,M,0,1,1
extra_generated,2,13,BSFD1801N2204NV,32,34,0,1,1
quantity_mismatch,2,13,BT22013NVBE,,10,1,2,1
quantity_mismatch,2,13,BT22055WHBK,,10,1,2,1
extra_generated,2,13,BT22074RDBK,,8,0,1,1
extra_generated,2,13,BW22311RDGY,,14,0,1,1
extra_generated,2,13,CAMT03YBBGNV,,L,0,1,1
extra_generated,2,13,CAMT05YBNVDGY,,XL,0,1,1
extra_generated,2,13,CAMTKU02GNOL,,XS,0,1,1
missing_from_generated,2,13,CMTKV02BG,,XS,1,0,-1
extra_generated,2,13,CMTKV03SBLGY,,S,0,1,1
extra_generated,2,13,CMTKV03SBLGY,,XL,0,1,1
extra_generated,2,13,CMTKV04BLBG,,L,0,1,1
extra_generated,2,13,CMTKV04BLBG,,XL,0,1,1
missing_from_generated,2,13,CTAMSC06,,XS,1,0,-1
extra_generated,2,13,CTAMSF07,,L,0,1,1
extra_generated,2,13,TSC149GY,,XL,0,2,2
extra_generated,2,13,TSC149GY,,XXL,0,1,1
extra_generated,2,13,TSC149WHBK,,XXL,0,1,1
missing_from_generated,2,14,JZI1009SSKHBLGY,,XL,1,0,-1
extra_generated,2,28,BFC004S8153,-,48,0,1,1
extra_generated,2,28,CAMTKU02OGGY,,XS,0,1,1
extra_generated,2,28,CAMTKU02OLPR,,L,0,1,1
extra_generated,2,28,CAMTKU02OLPR,,S,0,1,1
extra_generated,2,28,CAMTKU02OLPR,,XL,0,1,1
extra_generated,2,28,CAMTKU02OLPR,,XS,0,1,1
extra_generated,2,28,CCSF0464756WH,,L,0,1,1
missing_from_generated,2,28,F1C2KF,30,28,1,0,-1
extra_generated,2,28,GZ272RSBL,,XL,0,1,1
extra_generated,2,28,JZI1009SSKHBLGY,,XL,0,1,1
missing_from_generated,2,28,JZI1009SSPKBLWH,,S,1,0,-1
missing_from_generated,2,28,JZI1009SSPRGN,,XS,1,0,-1
missing_from_generated,2,29,375217Z15MT,,XXL,1,0,-1
extra_generated,2,29,BT24849WHBK,,10,0,1,1
extra_generated,2,29,CAMTKU02OGGY,,XS,0,1,1
extra_generated,2,29,CAMTKU02OLPR,,XS,0,1,1
extra_generated,2,29,GZ272RSBL,,XL,0,1,1
extra_generated,2,30,375217Z15MT,,XXL,0,1,1
extra_generated,2,30,BK22008BKGY,,10,0,1,1
extra_generated,2,30,BT22055WHBK,,10,0,1,1
extra_generated,2,30,BT24896BK,,10,0,1,1
extra_generated,2,30,CMTKV02BG,,XS,0,1,1
extra_generated,2,30,CMTKV04NVBG,,S,0,1,1
extra_generated,2,30,CMTL02BLRDGY,,S,0,2,2
extra_generated,2,30,CMTL03GYOGBL,,S,0,1,1
extra_generated,2,30,CMTL03GYOGBL,,XS,0,1,1
extra_generated,2,30,CMTL07BLBKOG,,XS,0,1,1
extra_generated,2,30,CMTL08OL,,XS,0,1,1
extra_generated,2,30,CMTL09GNRD,,L,0,1,1
extra_generated,2,30,CTAMSC06,,XS,0,1,1
extra_generated,2,30,F1C2KF,30,28,0,1,1
extra_generated,2,30,JZI1009SSPKBLWH,,S,0,1,1
extra_generated,2,30,JZI1009SSPRGN,,XS,0,1,1
extra_generated,2,30,MP24806BN,,32,0,1,1
extra_generated,2,30,RN145330GN,,14,0,1,1
extra_generated,2,30,RN145330WHBL,,10,0,1,1
missing_from_generated,2,30,SH111BL,,L,1,0,-1
extra_generated,2,30,SH4GN,,XS,0,1,1
missing_from_generated,5,2,LRL002JYBL,,S,1,0,-1
missing_from_generated,5,9,22028076OL,,M,1,0,-1
extra_generated,5,14,LRL0028OL,,S,0,1,1
missing_from_generated,5,16,12232656PR,,L,1,0,-1
extra_generated,5,28,12232656PR,,L,0,1,1
extra_generated,5,29,22028076OL,,M,0,1,1
extra_generated,10,2,MW001DMMBWS,,L,0,1,1
extra_generated,12,2,086SSWH,,XS,0,1,1
missing_from_generated,12,2,12164611N71,,XS,1,0,-1
missing_from_generated,12,2,12228078NV,,M,1,0,-1
missing_from_generated,12,2,12232652RD,,S,1,0,-1
missing_from_generated,12,2,CAMT05YBDGYBK,,L,1,0,-1
extra_generated,12,2,CMTKZ04NVGYWH,,S,0,1,1
missing_from_generated,12,5,086SSWH,,XS,1,0,-1
extra_generated,12,5,12164611N71,,XS,0,1,1
extra_generated,12,5,12228078NV,,M,0,1,1
extra_generated,12,5,12232652RD,,S,0,1,1
extra_generated,12,5,17947LTBL2,,XS,0,1,1
extra_generated,12,5,227688ALS386FU,,XL,0,1,1
extra_generated,12,5,6808CF1,,XL,0,1,1
extra_generated,12,5,849723BE,,XS,0,1,1
missing_from_generated,12,5,K059LGY,,XS,1,0,-1
extra_generated,12,5,PTBFC001209253B,34,34,0,1,1
extra_generated,12,9,12234763NV,,M,0,1,1
extra_generated,12,13,12221946BL,,L,0,1,1
extra_generated,12,13,12232323WH,,S,0,1,1
missing_from_generated,12,13,12233545WHNV,,XL,1,0,-1
extra_generated,12,13,17947BN,,XS,0,1,1
extra_generated,12,13,17947PMSS6GN,,XS,0,1,1
extra_generated,12,13,17947RD1,,XS,0,1,1
missing_from_generated,12,13,36543LLC16WHRD,,XS,1,0,-1
extra_generated,12,13,BFC004S8153,-,48,0,1,1
missing_from_generated,12,13,BT22014TLBK,,10,1,0,-1
missing_from_generated,12,13,BT23253BK,,10,1,0,-1
missing_from_generated,12,13,BT23253GY,,10,1,0,-1
extra_generated,12,13,CAMTKU02NVBL,,XS,0,1,1
extra_generated,12,13,CHA23771GYGN,,10,0,1,1
extra_generated,12,13,CMTKV02BG,,XS,0,1,1
extra_generated,12,13,CMTKV03BKBG,,XS,0,1,1
extra_generated,12,13,HCFY1801PMNV,-,28,0,1,1
extra_generated,12,13,K059LGY,,XS,0,1,1
missing_from_generated,12,13,MD20236MLBL,32,32,1,0,-1
extra_generated,12,13,TSC149WHNV,,XXL,0,1,1
extra_generated,12,14,AVT22002BN,,32,0,1,1
extra_generated,12,14,JZI1009SSKHBLGY,,XL,0,1,1
missing_from_generated,12,28,BFC004S8153,-,48,1,0,-1
extra_generated,12,28,BT23253BK,,10,0,1,1
extra_generated,12,28,BT23253GY,,10,0,1,1
extra_generated,12,28,JZI1009SSBLRDBE,,XL,0,1,1
missing_from_generated,12,28,JZI1009SSKHBLGY,,XL,1,0,-1
extra_generated,12,28,JZI1009SSPKBLWH,,S,0,1,1
extra_generated,12,28,JZI1009SSPRGN,,XS,0,1,1
missing_from_generated,12,28,PTBFC001209253B,34,34,1,0,-1
extra_generated,12,29,375217Z15MT,,XXL,0,1,1
extra_generated,12,29,BT22014TLBK,,10,0,1,1
extra_generated,12,30,12164611N10,,XS,0,1,1
extra_generated,12,30,12233545WHNV,,XL,0,1,1
extra_generated,12,30,194002BKWHRD,,L,0,1,1
extra_generated,12,30,36543LLC16WHRD,,XS,0,1,1
missing_from_generated,12,30,375217Z15MT,,XXL,1,0,-1
extra_generated,12,30,CAMT01EAGY,,S,0,2,2
extra_generated,12,30,CAMT05YBDGYBK,,L,0,1,1
missing_from_generated,12,30,CMTKV02BG,,XS,1,0,-1
extra_generated,12,30,CMTL02BLRDGY,,XS,0,1,1
missing_from_generated,12,30,JZI1009SSPKBLWH,,S,1,0,-1
