from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BS196292627KH,PantReSoloLOREN 9,305,GBOS,32,7,34,1,0.0,2.2
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12212932NV,PantCiRecAlgJACK&J W,306,PBET,32,4,31,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,810BL,JoggCargCiReEAGLE 6,308,GLIU,-,3,30,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,CM277TLBK,ShorDiseAlgdSEVEN Y,309,ISAK,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22012321GY,CamBotUsfMlONLYS 6,321,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22012321NV,CamBotUsfMlONLYS 6,321,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB22341RWH,CamBotUsfMlLOREN 6,321,GVIR,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB22341RWH,CamBotUsfMlLOREN 6,321,GVIR,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB22341RWH,CamBotUsfMlLOREN 6,321,GVIR,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223451SWH,CamBotUsfMlLOREN 6,321,GVIR,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223451SWH,CamBotUsfMlLOREN 6,321,GVIR,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452RSBL,CamBotUsfMlLOREN 6,321,GVIR,,5,L,1,2.4,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452RSBL,CamBotUsfMlLOREN 6,321,GVIR,,6,XL,1,2.4,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452RSBL,CamBotUsfMlLOREN 6,321,GVIR,,7,XXL,1,2.4,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452SSBL,CamBotUsfMlLOREN 6,321,GVIR,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452SSBL,CamBotUsfMlLOREN 6,321,GVIR,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GZ2713RBK,CamBotUsfMlLOREN 6,321,GVIR,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,121651404WN,CamBotDisMcPAULM 4,322,IBLA,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22023964OL,CamCpBotMcONLYS 6,322,PBET,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BKR131BK,CamCcaBotMcPAULM 6,322,IBLA,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BKR131BK,CamCcaBotMcPAULM 6,322,IBLA,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BKR131BK,CamCcaBotMcPAULM 6,322,IBLA,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BKR131WN,CamCcaBotMcPAULM 6,322,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BKR131WN,CamCcaBotMcPAULM 6,322,IBLA,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BKR131WN,CamCcaBotMcPAULM 6,322,IBLA,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22012321BK,CamBotUsfMlONLYS 6,323,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22028129DNV,CamCpBotMlONLYS 6,323,PBET,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22028129DNV,CamCpBotMlONLYS 6,323,PBET,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22028129DNV,CamCpBotMlONLYS 6,323,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,227688ALSLBL,CamBotMlLOREN 3,323,IBLA,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,CCSF02WH,CamCcaBotMlLOREN 3,323,IBLA,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,LRL002LTBL4,CamRayBotMlLOREN 3,323,GCHX,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,LRL002LTBL4,CamRayBotMlLOREN 3,323,GCHX,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12233545WHNV,CamCpBoRayMlJACK 2,325,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,17947BL2,CamBotCuaMcPAULM 3,326,GCHX,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,D0231LTPR,CamBotEstMcPAULM 3,328,GCHX,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12164611LWH,CamBotUsfMlLOREN 3,329,IBLA,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,D023LTBL6,CamBotUsfMlPAULM 3,329,GCHX,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,305LSNV,GuayBotDisMlLOREN 3,330,IBLA,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12137126LGY,CamtClLetrMcJACK 2,332,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12232653WH,CamtClDiseMcJACK& 2,332,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,SH8011GN,CamtClUsfMcPAULM 6,332,GSIH,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,CMTKV01NV,CamtClUsfMlKING V,333,HKAI,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,CAMTKU01OG,CamtClSmAlgdLOREN U,334,HKAI,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12221012GY,CamtCpBotMcPAUL 6,336,IBLA,,2,XS,1,8.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,SH4NV,CamtCpUsfMcPAULM 6,336,GSIH,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,MP24494LBN,FajaHebCueCLAUD 6,341,GVIT,,7,38,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,7203N3,CorbPunSedaLOREN 6,361,GYIS,,1,TU,2,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,HS002KH,CorbUsfSedaLOREN 6,361,GYIS,,1,TU,1,1.4,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,912BK1,JackCx2BotMlPAULM 1,462,GJIC,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,AL120JY358261BN,ChaqCpBotMlPAULM 6,462,GJIC,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12186375GN,SuetGorClMlJACK& 2,466,PBET,,6,XL,1,0.0,0.0
