from_store_number,from_store_name,to_store_number,to_store_name,pages,item_rows,units
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,5,42,60
2,UNLIMITED C. 2000,9,The Jeans Company Tg,1,6,7
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,9,88,121
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,4,36,46
2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,2,18,27
2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,2,18,23
2,UNLIMITED C. 2000,29,Unlimited GaleriasSP,1,9,10
2,UNLIMITED C. 2000,30,Unlimited CityMall T,2,18,20
5,UNLIMITED FORHIM,2,UNLIMITED C. 2000,1,10,10
5,UNLIMITED FORHIM,9,The Jeans Company Tg,1,1,1
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,1,2,2
5,UNLIMITED FORHIM,14,UNLIMITED METROMALL,1,1,1
5,UNLIMITED FORHIM,16,THE PLACE MIRAFLORES,1,2,3
5,UNLIMITED FORHIM,28,UNLIMITED LASCASCADA,1,5,5
5,UNLIMITED FORHIM,30,Unlimited CityMall T,1,2,2
6,UNLIMITED Centro,5,UNLIMITED FORHIM,1,1,1
9,The Jeans Company Tg,2,UNLIMITED C. 2000,1,2,3
9,The Jeans Company Tg,5,UNLIMITED FORHIM,1,4,4
9,The Jeans Company Tg,16,THE PLACE MIRAFLORES,1,1,1
9,The Jeans Company Tg,28,UNLIMITED LASCASCADA,1,1,1
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,17,170,226
12,UNLIMITED MEGAMALLSP,5,UNLIMITED FORHIM,4,39,50
12,UNLIMITED MEGAMALLSP,9,The Jeans Company Tg,1,8,8
12,UNLIMITED MEGAMALLSP,13,UNLIMITED MIRAFLORES,5,44,47
12,UNLIMITED MEGAMALLSP,14,UNLIMITED METROMALL,4,31,38
12,UNLIMITED MEGAMALLSP,16,THE PLACE MIRAFLORES,1,2,2
12,UNLIMITED MEGAMALLSP,28,UNLIMITED LASCASCADA,2,18,23
12,UNLIMITED MEGAMALLSP,29,Unlimited GaleriasSP,1,1,1
12,UNLIMITED MEGAMALLSP,30,Unlimited CityMall T,2,19,19
13,UNLIMITED MIRAFLORES,2,UNLIMITED C. 2000,1,4,4
13,UNLIMITED MIRAFLORES,5,UNLIMITED FORHIM,1,2,2
13,UNLIMITED MIRAFLORES,12,UNLIMITED MEGAMALLSP,1,1,1
13,UNLIMITED MIRAFLORES,14,UNLIMITED METROMALL,1,2,3
13,UNLIMITED MIRAFLORES,29,Unlimited GaleriasSP,1,1,1
14,UNLIMITED METROMALL,2,UNLIMITED C. 2000,18,174,218
14,UNLIMITED METROMALL,5,UNLIMITED FORHIM,12,116,126
14,UNLIMITED METROMALL,9,The Jeans Company Tg,3,21,29
14,UNLIMITED METROMALL,12,UNLIMITED MEGAMALLSP,12,114,135
