item_id,page,from_store_number,from_store_name,to_store_number,to_store_name,sku,description,style_color,vendor,vendor_sku,category_code,category_name,from_mtd_turns_raw,from_mtd_turns,to_mtd_turns_raw,to_mtd_turns,size_row,size_column,quantity
1,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,BS196292627KH,PantReSoloLOREN 9,COMF/KAKI,GBOS,BS196292627_KHAKI,305,Pant. Vestir Caballe,"0,0",0.0,"2,2",2.2,32,34,1
2,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12212932NV,PantCiRecAlgJACK&J W,ALGD/AZUL,PBET,12212932_NAVY,306,Pant Casual  Caballe,"0,0",0.0,"0,0",0.0,32,31,1
3,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,810BL,JoggCargCiReEAGLE 6,LONA/AZUL,GLIU,810_BLUE,308,Joggers/Capri Caball,"0,0",0.0,"0,0",0.0,-,30,1
4,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,CM277TLBK,ShorDiseAlgdSEVEN Y,ALGD/DISE,ISAK,CM277_TEAL BLACK,309,Short Gral Caballero,"0,0",0.0,"0,0",0.0,,L,1
5,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22012321GY,CamBotUsfMlONLYS 6,ALGD/GRIS,PBET,22012321_GRAY,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,XL,1
6,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,22012321NV,CamBotUsfMlONLYS 6,ALGD/AZUL,PBET,22012321_NAVY,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,XL,1
7,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB22341RWH,CamBotUsfMlLOREN 6,POLY/REGU,GVIR,GB22341_WHITE,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,S,1
7,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB22341RWH,CamBotUsfMlLOREN 6,POLY/REGU,GVIR,GB22341_WHITE,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,M,1
7,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB22341RWH,CamBotUsfMlLOREN 6,POLY/REGU,GVIR,GB22341_WHITE,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,L,1
8,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223451SWH,CamBotUsfMlLOREN 6,POLY/SLIM,GVIR,GB223451_WHITE,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,L,1
8,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223451SWH,CamBotUsfMlLOREN 6,POLY/SLIM,GVIR,GB223451_WHITE,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,XL,1
9,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452RSBL,CamBotUsfMlLOREN 6,POLY/REGU,GVIR,GB223452_SKY BLUE,321,Cam M/L Botones USF,"2,4",2.4,"0,0",0.0,,L,1
9,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452RSBL,CamBotUsfMlLOREN 6,POLY/REGU,GVIR,GB223452_SKY BLUE,321,Cam M/L Botones USF,"2,4",2.4,"0,0",0.0,,XL,1
9,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452RSBL,CamBotUsfMlLOREN 6,POLY/REGU,GVIR,GB223452_SKY BLUE,321,Cam M/L Botones USF,"2,4",2.4,"0,0",0.0,,XXL,1
10,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,GB223452SSBL,CamBotUsfMlLOREN 6,POLY/SLIM,GVIR,GB223452_SKY BLUE,321,Cam M/L Botones USF,"0,0",0.0,"0,0",0.0,,L,1
