sku,description,category,vendor,size_column,size_total_rics,size_total_generated,size_total_delta,rics_routes,generated_routes,candidate_donors,candidate_receivers,likely_difference
EVER614BK,ZapDpPmAm5PuCAMP 2,541,CEVE,060,2,2,0,13->12:1 | 29->14:1,13->14:1 | 2->12:1,"2:oh=2,model=1,mtd=0,store_oh=3,store_model=5,store_mtd=0,turns=0.0,total_surplus=-2 ; 13:oh=2,model=1,mtd=0,store_oh=3,store_model=5,store_mtd=0,turns=0.0,total_surplus=-2 ; 29:oh=2,model=1,mtd=0,store_oh=3,store_model=5,store_mtd=0,turns=0.0,total_surplus=-2","12:oh=0,model=1,mtd=0,store_oh=0,store_model=5,store_mtd=0,turns=0.0,total_surplus=-5 ; 14:oh=0,model=1,mtd=0,store_oh=2,store_model=5,store_mtd=0,turns=0.0,total_surplus=-3",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
992BN,ZapDpPtAm5LonEAGLE 1,541,CWIT,075,2,2,0,14->6:1 | 2->12:1,14->12:1 | 2->6:1,"2:oh=2,model=1,mtd=0,store_oh=6,store_model=6,store_mtd=0,turns=0.0,total_surplus=0 ; 14:oh=2,model=1,mtd=0,store_oh=3,store_model=6,store_mtd=1,turns=3.4,total_surplus=-3","6:oh=0,model=1,mtd=0,store_oh=1,store_model=6,store_mtd=0,turns=0.0,total_surplus=-5 ; 12:oh=0,model=1,mtd=0,store_oh=0,store_model=6,store_mtd=0,turns=0.0,total_surplus=-6",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
995BN,ZapDpPtAm5PuEAGLE 1,541,CWIT,090,2,2,0,29->13:1 | 6->2:1,29->2:1 | 6->13:1,"6:oh=2,model=1,mtd=0,store_oh=7,store_model=6,store_mtd=0,turns=0.0,total_surplus=1 ; 29:oh=2,model=1,mtd=0,store_oh=4,store_model=6,store_mtd=0,turns=0.0,total_surplus=-2","2:oh=0,model=1,mtd=0,store_oh=6,store_model=6,store_mtd=0,turns=0.0,total_surplus=0 ; 13:oh=0,model=1,mtd=0,store_oh=4,store_model=6,store_mtd=0,turns=0.0,total_surplus=-2 ; 28:oh=0,model=1,mtd=0,store_oh=3,store_model=6,store_mtd=0,turns=0.0,total_surplus=-3",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
CLYDELACEWHNV,ZapPtAm5PuEAGLE 1,553,CWIT,2,1,1,0,30->12:1,14->12:1,"14:oh=2,model=1,mtd=0,store_oh=7,store_model=7,store_mtd=0,turns=0.0,total_surplus=0 ; 29:oh=2,model=1,mtd=0,store_oh=6,store_model=7,store_mtd=0,turns=0.0,total_surplus=-1 ; 30:oh=2,model=1,mtd=0,store_oh=8,store_model=7,store_mtd=0,turns=0.0,total_surplus=1","12:oh=0,model=1,mtd=1,store_oh=5,store_model=7,store_mtd=1,turns=2.2,total_surplus=-2",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
HIGHTOPWHRD,ZapDpPtAm9PuEAGLE 1,541,CWIT,080,1,1,0,14->30:1,6->30:1,"2:oh=3,model=1,mtd=0,store_oh=7,store_model=6,store_mtd=0,turns=0.0,total_surplus=1 ; 6:oh=2,model=1,mtd=0,store_oh=4,store_model=6,store_mtd=0,turns=0.0,total_surplus=-2 ; 14:oh=2,model=1,mtd=0,store_oh=5,store_model=6,store_mtd=0,turns=0.0,total_surplus=-1","30:oh=0,model=1,mtd=0,store_oh=0,store_model=6,store_mtd=0,turns=0.0,total_surplus=-6",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
NEDLACEWH,ZapPtAm5PuEAGLE 1,553,CWIT,2,2,2,0,12->28:1 | 30->29:1,30->29:1 | 6->28:1,"6:oh=2,model=1,mtd=0,store_oh=6,store_model=7,store_mtd=0,turns=0.0,total_surplus=-1 ; 12:oh=2,model=1,mtd=0,store_oh=9,store_model=7,store_mtd=0,turns=0.0,total_surplus=2 ; 30:oh=2,model=1,mtd=0,store_oh=10,store_model=7,store_mtd=0,turns=0.0,total_surplus=3","28:oh=0,model=1,mtd=0,store_oh=3,store_model=7,store_mtd=0,turns=0.0,total_surplus=-4 ; 29:oh=0,model=1,mtd=0,store_oh=4,store_model=7,store_mtd=0,turns=0.0,total_surplus=-3",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
STRIPESBKLGY,ZapDpPtAm5PuEAGLE 1,541,CWIT,080,3,3,0,12->14:1 | 12->6:1 | 29->30:1,12->30:1 | 2->6:1 | 29->14:1,"2:oh=2,model=1,mtd=0,store_oh=6,store_model=6,store_mtd=0,turns=0.0,total_surplus=0 ; 12:oh=3,model=1,mtd=0,store_oh=8,store_model=6,store_mtd=0,turns=0.0,total_surplus=2 ; 29:oh=2,model=1,mtd=0,store_oh=5,store_model=6,store_mtd=0,turns=0.0,total_surplus=-1","6:oh=0,model=1,mtd=0,store_oh=2,store_model=6,store_mtd=0,turns=0.0,total_surplus=-4 ; 14:oh=0,model=1,mtd=0,store_oh=5,store_model=6,store_mtd=0,turns=0.0,total_surplus=-1 ; 30:oh=0,model=1,mtd=0,store_oh=7,store_model=6,store_mtd=0,turns=0.0,total_surplus=1",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
JK620BN,ZapMetRedSinKADI 6,514,FJIN,42,1,1,0,30->28:1,5->28:1,"5:oh=2,model=1,mtd=0,store_oh=8,store_model=6,store_mtd=0,turns=0.0,total_surplus=2 ; 29:oh=2,model=1,mtd=0,store_oh=7,store_model=6,store_mtd=0,turns=0.0,total_surplus=1 ; 30:oh=2,model=1,mtd=0,store_oh=7,store_model=6,store_mtd=0,turns=0.0,total_surplus=1","28:oh=0,model=1,mtd=0,store_oh=5,store_model=6,store_mtd=0,turns=0.0,total_surplus=-1",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
Z006BK,ZapMetRedSinJOIA 6,514,FJIN,42,1,1,0,30->12:1,5->12:1,"2:oh=2,model=1,mtd=0,store_oh=8,store_model=6,store_mtd=0,turns=0.0,total_surplus=2 ; 5:oh=2,model=1,mtd=0,store_oh=5,store_model=6,store_mtd=0,turns=0.0,total_surplus=-1 ; 13:oh=2,model=1,mtd=0,store_oh=6,store_model=6,store_mtd=0,turns=0.0,total_surplus=0 ; 14:oh=2,model=1,mtd=0,store_oh=6,store_model=6,store_mtd=0,turns=0.0,total_surplus=0 ; 30:oh=2,model=1,mtd=0,store_oh=7,store_model=6,store_mtd=0,turns=0.0,total_surplus=1","12:oh=0,model=1,mtd=0,store_oh=4,store_model=6,store_mtd=0,turns=0.0,total_surplus=-2",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
PD322491BN,ZapPtMetCosPuLOREN 1,514,GVIT,080,2,2,0,14->12:1 | 2->6:1,14->6:1 | 2->12:1,"2:oh=2,model=1,mtd=0,store_oh=9,store_model=8,store_mtd=0,turns=0.0,total_surplus=1 ; 14:oh=2,model=1,mtd=0,store_oh=11,store_model=8,store_mtd=0,turns=0.0,total_surplus=3","6:oh=0,model=1,mtd=0,store_oh=6,store_model=8,store_mtd=0,turns=0.0,total_surplus=-2 ; 12:oh=0,model=1,mtd=0,store_oh=8,store_model=8,store_mtd=0,turns=0.0,total_surplus=0 ; 28:oh=0,model=1,mtd=0,store_oh=5,store_model=8,store_mtd=0,turns=0.0,total_surplus=-3",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
