status,from_store_number,to_store_number,sku,row_label,column_label,rics_qty,generated_qty,delta
extra_generated,2,6,233HCF,,080,0,1,1
extra_generated,2,6,901025ZHBHBK,,110,0,1,1
extra_generated,2,6,992BN,,075,0,1,1
extra_generated,2,6,CLYDELACEBK,,12,0,1,1
extra_generated,2,6,CLYDELACEWHNV,,12,0,1,1
extra_generated,2,6,MT9MRNWHBK,,080,0,1,1
extra_generated,2,6,STRIPESBKLGY,,080,0,1,1
extra_generated,2,6,UH072GY,,070,0,1,1
extra_generated,2,12,9610734NBN,,100,0,1,1
missing_from_generated,2,12,992BN,,075,1,0,-1
extra_generated,2,12,ADENTRUEMOCCBK,,42.5,0,1,1
missing_from_generated,2,12,CLYDELACEWHNV,,12,1,0,-1
extra_generated,2,12,EVER614BK,,060,0,1,1
extra_generated,2,12,Z006BK,,42,0,1,1
missing_from_generated,2,13,9610734NBN,,100,1,0,-1
extra_generated,2,14,XW28146NV,,075,0,1,1
extra_generated,2,28,HIGHTOPWHRD,,085,0,1,1
extra_generated,2,28,YSZ100118BKPU,,070,0,1,1
missing_from_generated,2,30,CLYDELACEBK,,12,1,0,-1
extra_generated,2,30,HIGHTOPWHRD,,080,0,1,1
extra_generated,5,2,EVER786BN,,080,0,1,1
extra_generated,5,12,B8802BKWH,,41,0,1,1
extra_generated,5,14,LIVIATOECAPBN,,43,0,1,1
extra_generated,5,14,R3086BKPU,,060,0,1,1
extra_generated,5,28,JK620BN,,42,0,1,1
missing_from_generated,5,28,LIVIATOECAPBN,,43,1,0,-1
extra_generated,5,30,DANIELMONKBK,,42,0,1,1
extra_generated,5,30,HANHOBK,,42,0,1,1
extra_generated,6,14,042KDBL,,13,0,1,1
extra_generated,6,14,STRIPESWHNV,,085,0,1,1
missing_from_generated,6,28,HIGHTOPWHRD,,085,1,0,-1
extra_generated,6,28,NEDLACEWH,,2,0,1,1
extra_generated,6,30,042KDBL,,12,0,1,1
extra_generated,6,30,042KDSBL,,1,0,1,1
extra_generated,6,30,2750WHT,,35,0,1,1
extra_generated,6,30,HIGHTOPWHRD,,085,0,1,1
extra_generated,12,2,EVER609WH,,070,0,1,1
extra_generated,12,6,2750GYWH,,41.5,0,1,1
extra_generated,12,6,450502KHNV,,075,0,1,1
missing_from_generated,12,6,MT9MRNWHBK,,080,1,0,-1
missing_from_generated,12,6,STRIPESBKLGY,,080,1,0,-1
missing_from_generated,12,14,042KDBL,,13,1,0,-1
missing_from_generated,12,28,NEDLACEWH,,2,1,0,-1
extra_generated,12,29,NEDLACEWH,,2,0,1,1
missing_from_generated,12,30,042KDBL,,12,1,0,-1
missing_from_generated,12,30,042KDSBL,,1,1,0,-1
missing_from_generated,12,30,2750WHT,,35,1,0,-1
extra_generated,12,30,MENSKATEBK,,080,0,1,1
extra_generated,12,30,STRIPESBKLGY,,080,0,1,1
extra_generated,13,6,EVER784BN,,070,0,1,1
missing_from_generated,13,12,EVER614BK,,060,1,0,-1
extra_generated,13,12,VZ-02M-BKTE,,070,0,1,1
extra_generated,13,14,EVER614BK,,060,0,1,1
extra_generated,14,2,EVER784BN,,080,0,1,1
extra_generated,14,2,HIGHTOPBKNV,,100,0,1,1
extra_generated,14,2,WL533WHBK,,45,0,1,1
extra_generated,14,2,YSZWD0715W3BK,,085,0,1,1
extra_generated,14,2,ZHCF2002BK,,060,0,1,1
missing_from_generated,14,6,2750GYWH,,41.5,1,0,-1
missing_from_generated,14,6,901025ZHBHBK,,110,1,0,-1
missing_from_generated,14,6,992BN,,075,1,0,-1
extra_generated,14,12,992BN,,075,0,1,1
extra_generated,14,12,CLYDELACEWHNV,,2,0,1,1
extra_generated,14,12,EVER788BK,,080,0,1,1
extra_generated,14,12,ZHCF10001BN,,100,0,1,1
missing_from_generated,14,12,ZHCF2002BK,,060,1,0,-1
extra_generated,14,13,ZHCF10001BK,,075,0,1,1
missing_from_generated,14,13,ZHCF10001BN,,100,1,0,-1
missing_from_generated,14,28,HIGHTOPBKNV,,100,1,0,-1
extra_generated,14,28,PD3249939TN,,080,0,1,1
extra_generated,14,28,PIPERTRUMLINBK,,42.5,0,1,1
missing_from_generated,14,30,DANIELMONKBK,,42,1,0,-1
missing_from_generated,14,30,HANHOBK,,42,1,0,-1
missing_from_generated,14,30,HIGHTOPWHRD,,080,1,0,-1
missing_from_generated,14,30,MENSKATEBK,,080,1,0,-1
missing_from_generated,14,30,WL533WHBK,,45,1,0,-1
extra_generated,28,2,EVER714NV,,090,0,1,1
extra_generated,28,13,SIMONLACEUPBN,,41,0,1,1
missing_from_generated,28,30,EVER714NV,,090,1,0,-1
extra_generated,29,2,MKIMBERBKPU,,090,0,1,1
missing_from_generated,29,2,YSZWD0715W3BK,,085,1,0,-1
extra_generated,29,2,ZHCF10001BN,,080,0,1,1
extra_generated,29,5,244786ABK,,085,0,1,1
extra_generated,29,6,EVER714NV,,080,0,1,1
missing_from_generated,29,12,244786ABK,,085,1,0,-1
missing_from_generated,29,12,ADENTRUEMOCCBK,,42.5,1,0,-1
extra_generated,29,13,MKIMBERBKPU,,070,0,1,1
missing_from_generated,29,13,MKIMBERBKPU,,090,1,0,-1
missing_from_generated,29,13,SIMONLACEUPBN,,41,1,0,-1
missing_from_generated,29,13,ZHCF10001BN,,080,1,0,-1
missing_from_generated,29,14,EVER614BK,,060,1,0,-1
extra_generated,29,14,EVER721BKWH,,070,0,1,1
missing_from_generated,29,30,EVER714NV,,080,1,0,-1
missing_from_generated,29,30,HIGHTOPWHRD,,085,1,0,-1
missing_from_generated,29,30,STRIPESBKLGY,,080,1,0,-1
extra_generated,30,5,HR23257NV,,100,0,1,1
missing_from_generated,30,6,233HCF,,080,1,0,-1
missing_from_generated,30,6,UH072GY,,070,1,0,-1
missing_from_generated,30,12,CLYDELACEWHNV,,2,1,0,-1
missing_from_generated,30,12,Z006BK,,42,1,0,-1
missing_from_generated,30,28,HR23257NV,,100,1,0,-1
missing_from_generated,30,28,JK620BN,,42,1,0,-1
missing_from_generated,30,28,PD3249939TN,,080,1,0,-1
missing_from_generated,30,28,PIPERTRUMLINBK,,42.5,1,0,-1
missing_from_generated,30,28,YSZ100118BKPU,,070,1,0,-1
missing_from_generated,30,29,NEDLACEWH,,2,1,0,-1
extra_generated,30,29,ZHCF2002BK,,075,0,1,1
missing_from_generated,99,2,EVER609WH,,070,1,0,-1
missing_from_generated,99,2,EVER784BN,,080,1,0,-1
missing_from_generated,99,2,EVER786BN,,080,1,0,-1
missing_from_generated,99,6,450502KHNV,,075,1,0,-1
missing_from_generated,99,6,EVER784BN,,070,1,0,-1
missing_from_generated,99,12,B8802BKWH,,41,1,0,-1
missing_from_generated,99,12,EVER788BK,,080,1,0,-1
missing_from_generated,99,12,VZ-02M-BKTE,,070,1,0,-1
missing_from_generated,99,13,MKIMBERBKPU,,070,1,0,-1
missing_from_generated,99,13,ZHCF10001BK,,075,1,0,-1
missing_from_generated,99,14,EVER721BKWH,,070,1,0,-1
missing_from_generated,99,14,R3086BKPU,,060,1,0,-1
missing_from_generated,99,14,STRIPESWHNV,,085,1,0,-1
missing_from_generated,99,14,XW28146NV,,075,1,0,-1
missing_from_generated,99,29,ZHCF2002BK,,075,1,0,-1
