from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,901028BK,ZapTaMetHebCLAUDI W,501,MLUG,,3,060,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,DR717BK,ZapTmAm5CuerDSEEK Y,511,LCPC,,10,095,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,5,070,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,9,090,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK618BK,ZapMetRedSinKADI 6,514,FJIN,,9,42,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249931CF,ZapPtMetLisPuLOREN 1,514,GVIT,,3,060,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249931CF,ZapPtMetLisPuLOREN 1,514,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK647BK,SanMetRedSinKADI 7,519,FJIN,,8,41,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK647BK,SanMetRedSinKADI 7,519,FJIN,,9,42,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,DR902BK,BotTmAm8CueDSEEK 6,522,LCPC,,4,065,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,224267BK,BotaTaAm4PuLOREN 1,527,HUPS,,5,070,1,0.0,2.2
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,EVER712BK,ZapDpPmAm6PuEAGL 5,541,CEVE,,6,100,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,M270B2306JNV,ZapDpPtAm6PuCAMP 2,541,CWIT,,4,080,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,M270B2306JNV,ZapDpPtAm6PuCAMP 2,541,CWIT,,5,090,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,901025ZHBHBK,ZapTaAm4CueCLAUD 1,501,MLUG,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,901025ZHBHBK,ZapTaAm4CueCLAUD 1,501,MLUG,,13,110,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9515KBL,ZapTcAm4CuerCLAUDI W,503,MKIN,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,233HCF,ZapPtAm4CuerLOREN W,504,MHUR,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,233HCF,ZapPtAm4CuerLOREN W,504,MHUR,,9,090,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,6003KSHD,ZapPtMetCuerCLAUDI W,504,MKIN,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,YSZ100117BKPU,ZapTaMetPuLOREN 5,511,GYUS,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,YSZWD0715W9BN,ZapPtMetLisLOREN 6,512,GYUS,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,PD322491BN,ZapPtMetCosPuLOREN 1,514,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9880NV,ZapPtBrocHuleTOPMO U,519,MILO,,1,1,2,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9880NV,ZapPtBrocHuleTOPMO U,519,MILO,,13,12,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9880NV,ZapPtBrocHuleTOPMO U,519,MILO,,15,13,2,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9886BK,ZapPtBrocHuleKIDOR U,519,MILO,,5,090,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9886BK,ZapPtBrocHuleKIDOR U,519,MILO,,6,100,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,10080KMRN,BotiAm4CuerCLAUDI W,522,MKIN,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,13893NVWHRD,ZapDpPtAm6PuLOREN 1,541,MKIN,,2,070,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,992BN,ZapDpPtAm5LonEAGLE 1,541,CWIT,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,992GY,ZapDpPtAm5LonEAGLE 1,541,CWIT,,9,090,1,0.0,0.0
