from_store_number,from_store_name,to_store_number,to_store_name,item_rows,units,report_subtotal_units,delta
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,10,15,15,0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,23,32,32,0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,11,14,14,0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,5,6,6,0
2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,3,3,3,0
2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,3,3,3,0
2,UNLIMITED C. 2000,29,Unlimited GaleriasSP,1,1,1,0
2,UNLIMITED C. 2000,30,Unlimited CityMall T,5,5,5,0
5,UNLIMITED FORHIM,2,UNLIMITED C. 2000,1,1,1,0
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,5,5,5,0
5,UNLIMITED FORHIM,13,UNLIMITED MIRAFLORES,4,4,4,0
5,UNLIMITED FORHIM,14,UNLIMITED METROMALL,3,3,3,0
5,UNLIMITED FORHIM,28,UNLIMITED LASCASCADA,2,2,2,0
5,UNLIMITED FORHIM,30,Unlimited CityMall T,1,1,1,0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,8,9,9,0
6,UNLIMITED Centro,5,UNLIMITED FORHIM,3,3,3,0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,14,15,15,0
6,UNLIMITED Centro,13,UNLIMITED MIRAFLORES,10,14,14,0
6,UNLIMITED Centro,14,UNLIMITED METROMALL,1,1,1,0
6,UNLIMITED Centro,28,UNLIMITED LASCASCADA,1,1,1,0
6,UNLIMITED Centro,30,Unlimited CityMall T,6,9,9,0
9,The Jeans Company Tg,6,UNLIMITED Centro,1,1,1,0
12,UNLIMITED MEGAMALLSP,2,UNLIMITED C. 2000,21,23,23,0
12,UNLIMITED MEGAMALLSP,5,UNLIMITED FORHIM,6,6,6,0
12,UNLIMITED MEGAMALLSP,6,UNLIMITED Centro,18,22,22,0
12,UNLIMITED MEGAMALLSP,7,UNLIMITED D. 2000,1,1,1,0
12,UNLIMITED MEGAMALLSP,13,UNLIMITED MIRAFLORES,5,6,6,0
12,UNLIMITED MEGAMALLSP,14,UNLIMITED METROMALL,4,4,4,0
12,UNLIMITED MEGAMALLSP,28,UNLIMITED LASCASCADA,2,2,2,0
12,UNLIMITED MEGAMALLSP,30,Unlimited CityMall T,8,9,9,0
13,UNLIMITED MIRAFLORES,2,UNLIMITED C. 2000,1,1,1,0
13,UNLIMITED MIRAFLORES,6,UNLIMITED Centro,1,1,1,0
13,UNLIMITED MIRAFLORES,12,UNLIMITED MEGAMALLSP,3,3,3,0
13,UNLIMITED MIRAFLORES,29,Unlimited GaleriasSP,1,1,1,0
13,UNLIMITED MIRAFLORES,30,Unlimited CityMall T,2,2,2,0
14,UNLIMITED METROMALL,2,UNLIMITED C. 2000,40,45,45,0
14,UNLIMITED METROMALL,5,UNLIMITED FORHIM,25,26,26,0
14,UNLIMITED METROMALL,6,UNLIMITED Centro,33,36,36,0
14,UNLIMITED METROMALL,12,UNLIMITED MEGAMALLSP,21,24,24,0
14,UNLIMITED METROMALL,13,UNLIMITED MIRAFLORES,9,9,9,0
14,UNLIMITED METROMALL,28,UNLIMITED LASCASCADA,17,19,19,0
14,UNLIMITED METROMALL,29,Unlimited GaleriasSP,3,5,5,0
14,UNLIMITED METROMALL,30,Unlimited CityMall T,11,16,16,0
28,UNLIMITED LASCASCADA,2,UNLIMITED C. 2000,6,6,6,0
28,UNLIMITED LASCASCADA,5,UNLIMITED FORHIM,3,3,3,0
28,UNLIMITED LASCASCADA,6,UNLIMITED Centro,1,1,1,0
28,UNLIMITED LASCASCADA,12,UNLIMITED MEGAMALLSP,2,2,2,0
28,UNLIMITED LASCASCADA,13,UNLIMITED MIRAFLORES,2,2,2,0
28,UNLIMITED LASCASCADA,30,Unlimited CityMall T,2,2,2,0
29,Unlimited GaleriasSP,2,UNLIMITED C. 2000,4,4,4,0
29,Unlimited GaleriasSP,5,UNLIMITED FORHIM,3,3,3,0
29,Unlimited GaleriasSP,6,UNLIMITED Centro,1,1,1,0
29,Unlimited GaleriasSP,12,UNLIMITED MEGAMALLSP,4,5,5,0
29,Unlimited GaleriasSP,13,UNLIMITED MIRAFLORES,6,7,7,0
29,Unlimited GaleriasSP,14,UNLIMITED METROMALL,2,2,2,0
29,Unlimited GaleriasSP,30,Unlimited CityMall T,4,4,4,0
30,Unlimited CityMall T,2,UNLIMITED C. 2000,3,4,4,0
30,Unlimited CityMall T,5,UNLIMITED FORHIM,5,5,5,0
30,Unlimited CityMall T,6,UNLIMITED Centro,5,5,5,0
30,Unlimited CityMall T,12,UNLIMITED MEGAMALLSP,8,8,8,0
30,Unlimited CityMall T,13,UNLIMITED MIRAFLORES,3,3,3,0
30,Unlimited CityMall T,14,UNLIMITED METROMALL,5,5,5,0
30,Unlimited CityMall T,28,UNLIMITED LASCASCADA,8,8,8,0
30,Unlimited CityMall T,29,Unlimited GaleriasSP,3,3,3,0
99,BODEGA GENERAL,2,UNLIMITED C. 2000,6,6,6,0
99,BODEGA GENERAL,5,UNLIMITED FORHIM,5,5,5,0
99,BODEGA GENERAL,6,UNLIMITED Centro,4,4,4,0
99,BODEGA GENERAL,12,UNLIMITED MEGAMALLSP,5,5,5,0
99,BODEGA GENERAL,13,UNLIMITED MIRAFLORES,4,4,4,0
99,BODEGA GENERAL,14,UNLIMITED METROMALL,8,8,8,0
99,BODEGA GENERAL,28,UNLIMITED LASCASCADA,2,2,2,0
99,BODEGA GENERAL,29,Unlimited GaleriasSP,3,3,3,0
99,BODEGA GENERAL,30,Unlimited CityMall T,3,3,3,0
