item_id,page,from_store_number,from_store_name,to_store_number,to_store_name,sku,description,style_color,vendor,vendor_sku,category_code,category_name,from_mtd_turns_raw,from_mtd_turns,to_mtd_turns_raw,to_mtd_turns,size_grid,quantity_breakdown_json,total_quantity,report_total_quantity
1,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,EVER712BK,ZapDpPmAm6PuEAGL 5,PMED/NEGR,CEVE,EVER712_BLACK,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""100"", ""quantity"": 1}]",1,1
2,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,M270B2306JNV,ZapDpPtAm6PuCAMP 2,PLAN/MARI,CWIT,M270B2306J_NAVY,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}, {""row"": """", ""column"": ""090"", ""quantity"": 1}]",2,2
3,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK618BK,ZapMetRedSinKADI 6,PLAN/NEGR,FJIN,JK618_BLACK PU,514,Zap Casl Pu Plant,"0,0",0.0,"0,0",0.0,34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | M | 32 | 33,"[{""row"": """", ""column"": ""42"", ""quantity"": 1}]",1,1
4,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK647BK,SanMetRedSinKADI 7,PLAN/NEGR,FJIN,JK647_BLACK PU,519,Sandalias PU H,"0,0",0.0,"0,0",0.0,34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | M | 32 | 33,"[{""row"": """", ""column"": ""41"", ""quantity"": 1}, {""row"": """", ""column"": ""42"", ""quantity"": 1}]",2,2
5,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249926BK,ZapPtMetCosPuLOREN 1,PLAN/NEGR,GVIT,PD3249926_BLACK,513,Zap Casl PU Tacon H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""070"", ""quantity"": 1}, {""row"": """", ""column"": ""080"", ""quantity"": 1}, {""row"": """", ""column"": ""090"", ""quantity"": 1}]",3,3
6,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249931CF,ZapPtMetLisPuLOREN 1,PLAN/CAFE,GVIT,PD3249931_COFFEE,514,Zap Casl Pu Plant,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""060"", ""quantity"": 1}, {""row"": """", ""column"": ""080"", ""quantity"": 1}]",2,2
7,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,224267BK,BotaTaAm4PuLOREN 1,PLAN/NEGR,HUPS,224267_BLACK,527,Bota Casual PU Homb,"0,0",0.0,"2,4",2.4,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""070"", ""quantity"": 1}]",1,1
8,1,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,DR717BK,ZapTmAm5CuerDSEEK Y,TMED/NEGR,LCPC,DR717_BLACK,511,Zap Vest PU Tacon H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""095"", ""quantity"": 1}]",1,1
9,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,DR902BK,BotTmAm8CueDSEEK 6,TMED/NEGR,LCPC,DR902_BLACK,522,Bota Casual Cuero H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""065"", ""quantity"": 1}]",1,1
10,2,2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,901028BK,ZapTaMetHebCLAUDI W,TACO/NEGR,MLUG,901028_BLACK,501,Zap Vest Cuero Tacon,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""060"", ""quantity"": 1}]",1,1
