diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
deleted,FromStore|Type|ToStore|DateTran,"[""V:10"",""S:O"",""V:99"",""D:2026-04-01T00:00:00.0000000""]",3064faac148988c2dac41520f3a2dd5597f388c41de2305158e453c5662bab0d,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:99"",""S:I"",""V:10"",""D:2026-04-01T00:00:00.0000000""]",a702c6be0c03ea323bb98f98ffc361b62e9e44c6ff03f5a24de5a9e0d9f10d9e,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:25"",""S:O"",""V:99"",""D:2026-04-01T00:00:00.0000000""]",4a8a7e984b88b5fd7fc57dacc02a4bceb47a09b10930447067a94fe2e70739a8,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:99"",""S:I"",""V:25"",""D:2026-04-01T00:00:00.0000000""]",9b570340b48758438fe1df3a69852d7767a70751824bfc1010f7e20bcac93171,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:16"",""S:O"",""V:98"",""D:2026-04-06T00:00:00.0000000""]",ec80c11489c54090e4d2e07aa2716f2a944cc79c4e7ef90ee8b5f598de68e7fa,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:98"",""S:I"",""V:16"",""D:2026-04-06T00:00:00.0000000""]",e18281ba6c0cbdc20f99f5f470ab6eed14e9bc5df67bda405f3007f8cfef6a9c,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:13"",""S:O"",""V:98"",""D:2026-04-06T00:00:00.0000000""]",50289063a727bd76c6e525f9afe5d59aaf17af6772c4dada9e261f11bb7c2b51,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:98"",""S:I"",""V:13"",""D:2026-04-06T00:00:00.0000000""]",b0780ddc6fac575961a152aecb02195c5c8c0a1b786a36abbb581506359843ee,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:99"",""S:O"",""V:42"",""D:2026-04-06T00:00:00.0000000""]",5e20e688aaae0004f775ba624ba9ab86cc697a73f235e58e2715637496197c24,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:42"",""S:I"",""V:99"",""D:2026-04-06T00:00:00.0000000""]",25d4ab8d7348df8ae3dadd2ed875b6f8acc482c5c30b4e317562e6634d6018a9,,
deleted,FromStore|Type|ToStore|DateTran,"[""V:31"",""S:O"",""V:99"",""D:2026-04-06T00:00:00.0000000""]",4e92d264bb128cc562649049a9eb7b89c1cfeec502bde361501105fca7a13c89,,
