diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,Store|Category,"[""V:1"",""V:977""]",fff91798bf1db0905245f45d0bd3efd942ad79a32cf9ae549eb8f74b61ffa3d6,0c3e8c99dda7446b3c2ccec48bd5d95bf9c40b481d22cb2a3e496239675d485c,Current Year Budget_04
changed,Store|Category,"[""V:2"",""V:11""]",02bb70adaf9f3fc80653b78dd794bc3bf59d4e3c93efc8dc08ea2c45cf32f8b3,6b74d20b8d6622309e47afd93cecbb8b050f8075a4374a525d8775c8415de4f1,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:16""]",8658749cc272fb5d7b09320455a191f856260a5572c118c8f4f98d03fea4d7d8,32eb6174bb2f61a6e5554dd695a8c01b3ad13b97e3ed4bdd017836e7fe273021,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:17""]",ebb1a1a6ab95c4cd3bf1f06834802699a55f28b57d13d6acc260e2f157b0b9fa,0941de7603ef9f69a765e12706fc5d16ac8131e9a95636faeea467e5b59709ab,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:21""]",6288ae185e13c65a8974b3c492810e9a4bb80d47e9326db0fcae3531e2f2d78b,42c4ff296b8a6286171db5ce7ae0a18fd1ff02147365c3e0c23d499f3221bda3,Current Year Budget_04
changed,Store|Category,"[""V:2"",""V:28""]",b045b472061b6d2d82d7e95118ead4e641f33c25e2727de4ec8f47661e02459c,ad228f489b48a27cda18cd9261856979a0e7de1c10301e8b56aa757849b50e4d,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:31""]",aa8d1dfd748afad09fc453b53a9abc7c4add67a6460d60f67c27ec0861f94aec,465d7c6124de46d08adf87dd4851e3464fac00cbd4790651c3fecefdbd29733d,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:32""]",d19339671f1608356afa23140a062e9086afc599cab85f2e72c1e3cbdae80447,3228506250d504a944ea78c7d979478f65e41ae1a4df5da1b1e465107ea07d18,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:41""]",40fe0085c528e8052b5b285b4724d0675007d607f28bde8da66057319cd4f028,778d50641bed6925703c7419f7ffa3e86491c717b8fa6b453674d33d008fcde6,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:42""]",c1c80c7ad5a9574fe0a58b1e56f5df2909ab658c548563ffa7f3dca51bd8ee67,dfe391f429078093a6187cc6fa1e6416ebf7ef8eb138f3bbaccaa987867e186e,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:43""]",2b21d6b80df99af0b8b2e0cea6985655a3343337497443c0e79f112aee664c74,cf4ac14d684653547686b910fa7671c5617db9a0923d926919a348df1af61475,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:44""]",05d827a57ca30c4d604522d405e861c6b5ae5331a93c43c3df118c47ff9d6a91,b42da0ba413a8e9e2eea30cb78867871a34104c75141869d08672c306a670ba6,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:45""]",6f8e996a94467e20344774a282c37d5d7b3673da8944c8fec5dd5d0fa767991a,0f826c58b59a44764ac6bb7c09b1e79d6a465670a73e4cbae867c715cbedce52,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:46""]",d1a3f421ba4b19a6af0d31e32b59e9f93a49574e4921d3ea4eacfdfabd813249,54649638a2e44287f146cde94169202a50a33ca3c19defa355c2e13472ea9c6c,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:47""]",fe52a629f63781db0a6bc4efcf315cf33350ace85d121bc2568e09f9758a0dde,b48cd73c06948d617ac7b1c9760b91a0db1c00fd6a49a63e7ab1a965c57b55dd,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
