diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,PO Number,"[""S:00000189""]",df9b5f44bdfd36645c2c847d5f1fa47971939263c6dff87e7163b3508ede2eb4,0c66a8056465b57cc116aba19cf153725344b98a157e4f8a63c3b353be54fbb6,DateLastChanged
changed,PO Number,"[""S:00000215""]",abe70b9c2420eb3bfd6d932d053106e311f66c591aa24acff7cac7df7bc16fe8,cadca6047905523e526fa0a1b8015b42fbea0de7495b4bd6bdeb8e4e7d74b38c,DateLastChanged
changed,PO Number,"[""S:00000251""]",26a70818cac3bf29303814b8c50c15dc6ab533335bee6ed3b8b4bfb1c8b70316,5394ec316dfe5ea7790b6f21212c6b5f7d40fe39174169277457d23a9a47eb0a,DateLastChanged
changed,PO Number,"[""S:00000539""]",62e02fc84824213b8a78a137e6c85015d1b824977a6dc9ddf567f3d2a255d292,3501490bd656de16e31316a9aad3849a04ac0fb33f69c5313f788d995205024d,DateLastChanged
changed,PO Number,"[""S:00000756""]",578bac49781e6509994bd96eaa8f05b8bbf553038217fb30fd8a5eeddad0529d,f52d71a9a6421401cd9b3dba07229121b91419a4649d3e73810785d25ab486c4,DateLastChanged
changed,PO Number,"[""S:000018001""]",76f41c57ac4fdd60e750cb3bbfc820ad0d337106b5ff837fe0c4c9af0555edc2,b82696c8ffd3de22b2ca0f55d00cf1a84640f24aa33668fc5861ae6703901d87,DateLastChanged
changed,PO Number,"[""S:00006730""]",42ea279ed11649eae041b7feafc5c308320a26d53c1ceb813e21a5af6586e76c,38a23f542edeea98828d63d531ce69d439f9d318cb159b0abaa6239e05d5ae2e,DateLastChanged
changed,PO Number,"[""S:00007554""]",d5f165700a4b20f9e5ac7d8acd1121063f197f6bd2de04c4091bf11b406d4fb2,2b4516920a724b5071fd96a048b085d1ea2bf17e300ca03cf2a41ae1909954bf,DateLastChanged
changed,PO Number,"[""S:00009888""]",de14cd6f7158886705c6fdf78f2207d63aa355e5812dea0878c46591bee29795,49f60e6a3dfa53ab25a9934bd32f1860a8f45e507455fac31d664e0b7a472207,DateLastChanged
changed,PO Number,"[""S:00010""]",d0f6778ca944a3d82d418e51fd3a318055cd5a5dde3a31a587bd1669c66b0606,4d1b25561106f6ce864560f6e1b0c714cd43c9c28d41c53b9a88075c108e4498,DateLastChanged
