diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,Code|Store,"[""S:FNGE"",""V:16""]",23e884daf79a05a2076375056a6617a66a68e9a14c58118d27f146c912656d07,1e1328f1fa84a411b23600244d8c7ff15b11af044d597eb727cb70f537e96b1b,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:FRSS"",""V:20""]",8be7d3ae4a0c52024081478daa8d8956628cf540aaf6d75d6501f1e401d68d6b,6690dbd526b2c4a5ad777221a00e0efe808be2dca9bae149e3c28f1be8defc32,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:FSCI"",""V:17""]",f5703ddcd91164cd706f43c0dab141aa5cf70f53443166b8c393933be583aff5,42e16619ec3ed13df2432c6297aa1cb016c67e5b8bce9d5794650108ec3fdfab,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:FSKA"",""V:7""]",cc6bc6c9f4cc4aa884cb452942697994d73c37226977fddb0903d7a63c745928,b2434aa9520031454a8472590b962995e551e5eafa071af40a95b060e6972bfc,Sales_01|Sales_02|Profit_01|Profit_02|Comm_01|Comm_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GAMU"",""V:19""]",489a1b2bdff292a7f13ff02c1857a3d7051409beb40f05b42e62b6f192b191a9,7e80054efc5b8c7ae8f679d7ee82c0aa23358499a398d05c85cb54721ef7cae2,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GIEY"",""V:13""]",b14ad539c4a5fcf13e2674a8cd86f50ab046c5f850fc176f214708282ae056c1,c2f490235b50abb9195c2d2f76527aa2a2ac5f9e1cc9e43385da4dac744db24b,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GIHL"",""V:28""]",8e6a839f9a677c461a2ee5f9c9eeadf5d194938573621b30d69d78c915b22be3,40938b73c7661982cc694145034f3c0e29912f233a0f3ad88c7a85a1cff38cda,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GOIC"",""V:5""]",a3377fc1716a7ef6c475ce56d85011fbd0ab17a32effb8d095f13b5874bcc1c2,80cef0d96effd65ace15dac50d7968572cc684f4b46c4ea92c055b03047935a4,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GONL"",""V:9""]",03852f1c2cb6c716fa3ee80df66fdb7e00dfec63ed7412001ac94b9fec4adc2e,0b2636c4b63fc1c12bd587d9a791c70ea0aacd5a345faae19d97cee9b7960af1,Sales_01|Sales_02|Profit_01|Profit_02|Comm_01|Comm_02|Hours_01|Hours_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GONM"",""V:14""]",a6d20aa4b8a8159bbe8f55398395eb75de395b88f6dc109276ec0391d60f49eb,bf4cf5655888481753d1f22d130ed784d3264cf83d68830362823c23cc4b64f2,Sales_01|Sales_02|Profit_01|Profit_02|Comm_01|Comm_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GORU"",""V:43""]",f4629892e710f2d4f21c80fa38984182b0ab7f0196f972179668d7eb962954b5,6cff8c9f1cacade9594cb8763c3e69c94973c232539add1ad73982c4c6dd3074,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:GUGL"",""V:28""]",a2929706d1a8b0fa276ef731c10567de9cebeca28a2c2e317392ebe7056bb89b,bd0ed19adbacce7ab397ae086f5932a05a5710bc362bbb68c1b7fef7ed47199f,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:HEGR"",""V:12""]",9f841226cc7d77476c8a1f72c92672c3801990d59e9637bbfc4771ef176761bd,52eb54d1a223135d489398a0b0094cb89782e7136e53aefb3475178e04d7318b,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:HEKY"",""V:16""]",1aa0862c13851c06d404f48e03300b2c576371fba65bce1d17f47af90fa974d3,2ebcb4939214c4a36326b1ab482c118985c579487626ca0f6653d8a1b707df19,Sales_01|Sales_02|Profit_01|Profit_02|Comm_01|Comm_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:HRYM"",""V:29""]",1f776667f31e26f05d1bc3f0664c482e492cdc4d6895d3f6cf77e19a42385815,ac5d66572b239dfbdfdfa0eef53a08aff2153015c76de6a207dd5923c4a8c415,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:LAYH"",""V:24""]",ab39ae3762e84cb5dfd526ef97fd4cac6245e9f9a5908f5844ddd8aaa12fb952,24346efb3b88be33f414579acd16e23b412f7fbcac1e50e9e224372051a06753,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:LPAA"",""V:26""]",ba01b99f0ed7da49aa717d91b2e605d1d95369f426b605df12a12ec0cb314ed2,dfb43f2fbd69eaeafb5ac80c98f37ae407c3614029607b273d50d4b0f7f60ab3,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:LZBR"",""V:15""]",e35fd2425bee2e799d52a46be76210d05c2316359d9dcad338066cb93dca21ce,13d9c646bf03e60803f93043009108331673b01505ae560fd53c4edb4f73810e,Sales_01|Sales_02|Profit_01|Profit_02|Hours_01|Hours_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:ACDE"",""V:9""]",b2b79f970fa3a4f1fec4bcd1944b8713ed51486d109b429bc74904dc7eecf68a,af476a2e360dd05cba5502bfc517c06d289d5fb88b8bb6c5dc696817b41bab22,Sales_01|Sales_02|Profit_01|Profit_02|Comm_01|Comm_02|Hours_01|Hours_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:ALKL"",""V:16""]",07298079414be96cc7927414ecf0743e69ad28737e7201d8761decff7d3f8546,1a8ac3dae9c1553a39aeb43412274827a7820925edfe8c0ac29ae66b0465f7cc,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:ALKN"",""V:23""]",bce94b3f684a04f89cdc72c2fd370facae13a23cd186ca0bb3c9d789ee0f92dc,48d2152281092916138f5d038e1589d1eeb40656b50076d8c99f4d93403087b2,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:ARDM"",""V:13""]",f55c6507cd98da29067d0cb8e3ff623a0193da52f888dbd1ef982c34f8cc1b51,a36a4990c4fc8214a3f4e77d518a4aec9fbd96e38f1776d06243d587b8f95553,Sales_01|Sales_02|Profit_01|Profit_02|Comm_01|Comm_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:ATER"",""V:24""]",ab432c87b84a8279e9be9ee308a923228fd76945390a10165aba1b4ac545052d,f720ab60c4775a65d9af3cc1b609401e3f11c8b6bd0fa128d1de77a7544a75b5,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:AVID"",""V:14""]",65dc9934c70d93005bccdac2326dda43963373fd82ba07d8ae913fff6642720b,a8f1521efdedca067e20ef9e1b9faeb822f1eece23b5a45028cd7f7818b37fe5,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
changed,Code|Store,"[""S:AVKE"",""V:28""]",986d6da38c330776776e56ebc3509530172e1fd3ea63d2e4171885bd66e77d47,31dde659f4a0b8448623831642caf8521e70322b8fac2c0aa7a69cb7e4e54778,Sales_01|Sales_02|Profit_01|Profit_02|Total Tickets 1_01|Total Tickets 1_02|Total MultiTickets 1_01|Total MultiTickets 1_02|Total SKUS 1_01|Total SKUS 1_02|TotalMultiSales1_01|TotalMultiSales1_02
