diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,Number,"[""V:2""]",017f98b9bcd075ed55b8bb2a61c16af7e529f8b6e73851dabc2da85d4f81c96b,50cee0bb9b47aa9de1a6385922a7c6216fc6216c2fa8639511a24c68e5f7eb91,TenderAccum_01|TenderAccum_03|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:5""]",7ed9c4783e5cc84480d9cd1b0478c5cb74e35954139e9dd3ebfe81ae2d566f72,44d2f27fb8450b17210df448537e0b74dba0df1d5c9bcc80f9b88fb25d652faa,TenderAccum_01|TenderAccum_03|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:6""]",fcf97fabd0ad02fbafc893368c344d27a132246f40b5d2eed0969092e6f7c5d4,0d36b007f2ca5af1b0901226b162f818c78e6f5b7c91e7ed1af958cac096e8d4,TenderAccum_01|TenderAccum_03|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:7""]",998e0ffc8dbf4b7ea6e6f599dbca857318bd90b3e694bdce24c30a4e7c3c0f2c,2c5db800f98728584c16f4658ac6f1e1e3e5befe6cd85dec94bfad67e369a354,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:8""]",682a009fe30c1d8dccfcb276732600cc8ba94d3d74283ddd3778b4208e5a3964,68be72401464f8e5875324cc436c672e2948d6ead4e702e9ea020db595eb1f4b,TenderAccum_01|TenderAccum_03|TenderAccum_10|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:9""]",19c4b9ccc65b6dd40e3e58d43a63e55d9a59a4793b50c2619d1bd2049b2f103d,22311a06f0dfe99d2b2c330b4699a7aba9f9efe59f98fd17e869a90eb96d4a34,TenderAccum_01|TenderAccum_03|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:10""]",0c2881d8c512c13a964458ca4b9b086430bf6aba398988b20985095af806fa9a,060925571fca01978e968fa22a07b113e36281e4fb0c600b3004f3186da6c101,TenderAccum_01|TenderAccum_03|TenderAccum_10|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:12""]",2af44538c1bf6c7c85cfcdc5720a0dfcaf4dbfd5545eca6457d49f5b779e4a76,e62166491c82c4c0e5cd396122db03522961bee995e755794efcd7d9d534fe7d,TenderAccum_01|TenderAccum_03|TenderAccum_10|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:13""]",c1cbe0b7f4ad5744a34cdd86eb92bc7ec3b589a9c823fcde03dc7523e5711168,57d4d5acc97832d8645ba6b2d94c9c52e2576ad9c2a10c41e232307caee2881f,TenderAccum_01|TenderAccum_03|TenderAccum_10|TenderAccum_11|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:14""]",64901f67e7d6e9dbdc95d9e8ac47c633badbf6640825aeab9537e777b5a574c9,0bfbff63ccb822990cea777e6ff6ebe9a4a73a56bc9e14c4ad2bd9fae6489690,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
