source_mdb_file,source_table,target_table,mdb_file_status,before_row_count,after_row_count,row_delta,before_schema_hash,after_schema_hash,before_content_hash,after_content_hash,diff_status,key_kind,key_columns,detail_file,error
RIINVMAS.MDB,InventoryMaster,inventory_master,same,203874,203874,0,cfc40f1a2a9864f00bd24feb1e1669eb5feb8cf83c6628e6bf0ed99573344df6,cfc40f1a2a9864f00bd24feb1e1669eb5feb8cf83c6628e6bf0ed99573344df6,same_by_mdb_sha256:5b3df3190221d37a55a8e4b4bf7d76a8c94c6407e14d92aa068ef7928dfcfcea,same_by_mdb_sha256:5b3df3190221d37a55a8e4b4bf7d76a8c94c6407e14d92aa068ef7928dfcfcea,same_by_mdb_sha256,primary,SKU,,
RIINVMAS.MDB,InvCatalog,inv_catalog,same,0,0,0,71a00c1578e3a83af7e7634efb7d0492ee284a7ef7cdb9f77769779fe55642f1,71a00c1578e3a83af7e7634efb7d0492ee284a7ef7cdb9f77769779fe55642f1,same_by_mdb_sha256:5b3df3190221d37a55a8e4b4bf7d76a8c94c6407e14d92aa068ef7928dfcfcea,same_by_mdb_sha256:5b3df3190221d37a55a8e4b4bf7d76a8c94c6407e14d92aa068ef7928dfcfcea,same_by_mdb_sha256,primary,SKU,,
RICATEG.MDB,Categories,categories,same,616,616,0,dd7f7c4ebebc28e7d0c091208d2001dfc773c21ef2b51f287ad973e63f913f8f,dd7f7c4ebebc28e7d0c091208d2001dfc773c21ef2b51f287ad973e63f913f8f,same_by_mdb_sha256:ad9d7edc8a45c583aa0dab4fa812b469f73d96a3eff389533b48afc8bb8c0408,same_by_mdb_sha256:ad9d7edc8a45c583aa0dab4fa812b469f73d96a3eff389533b48afc8bb8c0408,same_by_mdb_sha256,primary,Number,,
RIDEPT.MDB,Departments,departments,same,92,92,0,ddb5fece03d60f6697975b0d7101830984c21b9caf7128b25c55457715ca5e19,ddb5fece03d60f6697975b0d7101830984c21b9caf7128b25c55457715ca5e19,same_by_mdb_sha256:f3d2137ac24904c5fedca7c4fa78ca63a84dd32dc31808888f1b475e049afaed,same_by_mdb_sha256:f3d2137ac24904c5fedca7c4fa78ca63a84dd32dc31808888f1b475e049afaed,same_by_mdb_sha256,primary,Number,,
RIDEPT.MDB,Sectors,sectors,same,9,9,0,2c780d991a2a025deda4b135824fec461aa56fd5fb84f6c47b9e98021c81f6bb,2c780d991a2a025deda4b135824fec461aa56fd5fb84f6c47b9e98021c81f6bb,same_by_mdb_sha256:f3d2137ac24904c5fedca7c4fa78ca63a84dd32dc31808888f1b475e049afaed,same_by_mdb_sha256:f3d2137ac24904c5fedca7c4fa78ca63a84dd32dc31808888f1b475e049afaed,same_by_mdb_sha256,primary,Number,,
RIVENDOR.MDB,Vendor Master,vendor_master,same,2256,2256,0,1cc4460220e93180757d97ff7fe58462a8a60c7f2b5eebb23207f85aea20095c,1cc4460220e93180757d97ff7fe58462a8a60c7f2b5eebb23207f85aea20095c,same_by_mdb_sha256:14bd659f888141feec2a0a347fa20572d6f5378cc79d3447751c6a70870bf8ec,same_by_mdb_sha256:14bd659f888141feec2a0a347fa20572d6f5378cc79d3447751c6a70870bf8ec,same_by_mdb_sha256,primary,Code,,
RIVENDOR.MDB,Vendor Accounts,vendor_accounts,same,672,672,0,04842722b40c60d1e6bac0ca945ae2187c076213162cf6a4090cb2a8f96416a3,04842722b40c60d1e6bac0ca945ae2187c076213162cf6a4090cb2a8f96416a3,same_by_mdb_sha256:14bd659f888141feec2a0a347fa20572d6f5378cc79d3447751c6a70870bf8ec,same_by_mdb_sha256:14bd659f888141feec2a0a347fa20572d6f5378cc79d3447751c6a70870bf8ec,same_by_mdb_sha256,primary,Code|Store,,
RISIZE.MDB,SizeTypes,size_types,same,217,217,0,005979f89212f320d32ecf271b4dd2a46ab733a27d65503b977b1ef614ee442e,005979f89212f320d32ecf271b4dd2a46ab733a27d65503b977b1ef614ee442e,same_by_mdb_sha256:e25d0e3aacee3e9755ccfa4e504d8fffecfd298a6080d63b6d15b0e4ef2f5e47,same_by_mdb_sha256:e25d0e3aacee3e9755ccfa4e504d8fffecfd298a6080d63b6d15b0e4ef2f5e47,same_by_mdb_sha256,primary,Code,,
RISIZE.MDB,NRMACodes,nrma_codes,same,0,0,0,f836b64d0d800d77987055bb7e0308ba16649f891b3c1fb346f1a9f65721d6ab,f836b64d0d800d77987055bb7e0308ba16649f891b3c1fb346f1a9f65721d6ab,same_by_mdb_sha256:e25d0e3aacee3e9755ccfa4e504d8fffecfd298a6080d63b6d15b0e4ef2f5e47,same_by_mdb_sha256:e25d0e3aacee3e9755ccfa4e504d8fffecfd298a6080d63b6d15b0e4ef2f5e47,same_by_mdb_sha256,primary,Code|Row|Segment,,
RIGROUP.MDB,GroupCodes,group_codes,same,33,33,0,b04be6bac12d0e526aabcf6f5437c6c0bdc75f20737d5a8044d2dff612992408,b04be6bac12d0e526aabcf6f5437c6c0bdc75f20737d5a8044d2dff612992408,same_by_mdb_sha256:74025dac97a991c567fe8dd225da7ea0389b0a8a44bf6b69f137ecd78fd96357,same_by_mdb_sha256:74025dac97a991c567fe8dd225da7ea0389b0a8a44bf6b69f137ecd78fd96357,same_by_mdb_sha256,primary,Code,,
RIGROUP.MDB,Keywords,keywords,same,2422,2422,0,b32c4baba8ae9734cc74eda5802f4e7715be27be99d106230704c3d7651d01ea,b32c4baba8ae9734cc74eda5802f4e7715be27be99d106230704c3d7651d01ea,same_by_mdb_sha256:74025dac97a991c567fe8dd225da7ea0389b0a8a44bf6b69f137ecd78fd96357,same_by_mdb_sha256:74025dac97a991c567fe8dd225da7ea0389b0a8a44bf6b69f137ecd78fd96357,same_by_mdb_sha256,primary,Keyword,,
RIGROUP.MDB,MarketingCode,marketing_code,same,0,0,0,4ef02460aa99a09a4c8beb1e410fbbe9fea4cbf5db75cdab3e9a2691732833a5,4ef02460aa99a09a4c8beb1e410fbbe9fea4cbf5db75cdab3e9a2691732833a5,same_by_mdb_sha256:74025dac97a991c567fe8dd225da7ea0389b0a8a44bf6b69f137ecd78fd96357,same_by_mdb_sha256:74025dac97a991c567fe8dd225da7ea0389b0a8a44bf6b69f137ecd78fd96357,same_by_mdb_sha256,primary,Code,,
RISTORE.MDB,StoreMaster,store_master,hash_differ,37,37,0,bf15c44477b3ae77eb094c4daa441467c767b2ecb5f0259585d5d95ecb8b6e24,bf15c44477b3ae77eb094c4daa441467c767b2ecb5f0259585d5d95ecb8b6e24,5ecda0755ae72c50c43867b804c9f450d5d0431c21999afb05a498026707ed96,7ed7cc780d6a0d5c77444da6b73dd347fa6383886d85a84a35eda938cc0a031b,content_changed,primary,Number,details/store_master_keys.csv,
RISLSPSN.MDB,Salespeople,salespeople,hash_differ,9624,9624,0,9197e5dee53acdf2769ced5cd66a3c30416f4432a7e00981395f14d30233964a,9197e5dee53acdf2769ced5cd66a3c30416f4432a7e00981395f14d30233964a,7b9570489014b300b5348c1c3548dbc8f296e48ca9c71462ad6aa56c3cb06ea3,7b9570489014b300b5348c1c3548dbc8f296e48ca9c71462ad6aa56c3cb06ea3,same,primary,Code,,
RISLSPSN.MDB,DeptOverride,dept_override,hash_differ,2,2,0,d9bb73342c8c3287d2078cfe70a780096ea635fa7374835f6e193cf44269bf9d,d9bb73342c8c3287d2078cfe70a780096ea635fa7374835f6e193cf44269bf9d,73c666a253bdf4e9291fa5d19e23716314d6f2b25ed7b5f47d2497a8ac68cb50,73c666a253bdf4e9291fa5d19e23716314d6f2b25ed7b5f47d2497a8ac68cb50,same,primary,Code|Dept,,
RISLSPSN.MDB,SalespeopleSales,salespeople_sales,hash_differ,258,256,-2,e2f62b0b351380e45849a888f0bf1a1939048fad358b5d44097193587e98e18d,e2f62b0b351380e45849a888f0bf1a1939048fad358b5d44097193587e98e18d,a0ffdc0dd22445a1f5e6aa4083ebc6dfbe08585bfb232b49bb4134008d6e6485,761a95e465598bc18372780b77b2a2f6d8ea95023f49bb79993b8ed4d365d607,content_changed,primary,Code|Store,details/salespeople_sales_keys.csv,
RIINVHIS.MDB,InvHis,inv_his,hash_differ,1923982,1923982,0,44d0ec8da05afca6ecbeaa6e25e1959e1b2a3fc5ce3dff211c24ec25ac87a85f,44d0ec8da05afca6ecbeaa6e25e1959e1b2a3fc5ce3dff211c24ec25ac87a85f,same_by_mdb_sha256:e5f07238a410c9eb1d44e91b224e7f2ab00eda526de060d13d9f376f860fbac8,same_by_mdb_sha256:a7aed7a25ddb976d83bd7b5a16fcc56510e983c03c55742694f742fdee521b45,file_hash_differ_content_not_scanned,primary,SKU|Store,,
RIINVQUA.MDB,Inventory Quantities,inventory_quantities,hash_differ,616249,616249,0,7a396e5b294296b5f538af0586d2a28ad4da90e27c35e4a3f8bf344ec70188f2,7a396e5b294296b5f538af0586d2a28ad4da90e27c35e4a3f8bf344ec70188f2,same_by_mdb_sha256:474a576d8e7c5086c21723fc07256d2ed67dabde999a1811c597edd5c1a0114f,same_by_mdb_sha256:4483a3aa43116e474c1809690cdf388abd5c95caea882f279920e32c29c9061e,file_hash_differ_content_not_scanned,primary,SKU|Store|Row|Segment,,
