skuCode,categoryNumber,season,suffix,dimensionCode,rawCode,canonicalCode,valueCode,labelEs,colorFamilyCode,applied
065-BKPU,556,9,BKPU,color,BK,BK,bk,Negro,neutral,false
065-BKPU,556,9,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
065-GYPKPU,556,9,PKPU,color,PK,PK,pk,Rosa,pink,false
065-GYPKPU,556,9,PKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
065-WHPU,556,9,WHPU,color,WH,WH,wh,Blanco,neutral,false
065-WHPU,556,9,WHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
083-WHBKPU,556,9,BKPU,color,BK,BK,bk,Negro,neutral,false
083-WHBKPU,556,9,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
083-WHKHPU,556,9,KHPU,color,KH,KH,kh,Khaki/Kaki,brown,false
083-WHKHPU,556,9,KHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
083-WHPU,556,9,WHPU,color,WH,WH,wh,Blanco,neutral,false
083-WHPU,556,9,WHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
107-2CPME,567,6,CPME,color,CP,CP,cp,Champagne,metallic,false
107-2CPME,567,6,CPME,upper_material,ME,ME,me,Metalico,,false
107-2-CPSP,567,A,CPSP,color,CP,CP,cp,Champagne,metallic,false
107-2-CPSP,567,A,CPSP,upper_material,SP,SP,sp,Suede/Peluche,,false
107-2SLME,567,6,SLME,color,SL,SL,sl,Plateado,metallic,false
107-2SLME,567,6,SLME,upper_material,ME,ME,me,Metalico,,false
107-2-SLSP,567,A,SLSP,color,SL,SL,sl,Plateado,metallic,false
107-2-SLSP,567,A,SLSP,upper_material,SP,SP,sp,Suede/Peluche,,false
107-3BKME,567,6,BKME,color,BK,BK,bk,Negro,neutral,false
107-3BKME,567,6,BKME,upper_material,ME,ME,me,Metalico,,false
107-3-BKPV,567,A,BKPV,color,BK,BK,bk,Negro,neutral,false
107-3-BKPV,567,A,BKPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
107-3GDME,567,6,GDME,color,GD,GD,gd,Dorado,metallic,false
107-3GDME,567,6,GDME,upper_material,ME,ME,me,Metalico,,false
