sku_code,dimension_code,value_code,value_label_es,assigned_by,assigned_at
065-BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
065-BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
065-BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
065-GYPKPU,color,pk,Rosa,script:sku-suffix-attributes,2026-05-07 05:44:06.334
065-GYPKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
065-GYPKPU,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 05:44:06.334
065-WHPU,color,wh,Blanco,script:sku-suffix-attributes,2026-05-07 05:44:06.334
065-WHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
065-WHPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
083-WHBKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
083-WHBKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
083-WHBKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
083-WHKHPU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
083-WHKHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
083-WHKHPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
083-WHPU,color,wh,Blanco,script:sku-suffix-attributes,2026-05-07 05:44:06.334
083-WHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
083-WHPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
107-2CPME,color,cp,Champagne,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2CPME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2CPME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
107-2-CPSP,color,cp,Champagne,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2-CPSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2-CPSP,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
107-2SLME,color,sl,Plateado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2SLME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2SLME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
107-2-SLSP,color,sl,Plateado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2-SLSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-2-SLSP,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
107-3BKME,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3BKME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3BKME,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
107-3-BKPV,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-BKPV,upper_material,pv,PVC/Vinilo,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-BKPV,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
107-3GDME,color,gd,Dorado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3GDME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3GDME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
107-3-GDPV,color,gd,Dorado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-GDPV,upper_material,pv,PVC/Vinilo,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-GDPV,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
107-3PKME,color,pk,Rosa,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3PKME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3PKME,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 05:44:06.334
107-3-PKPV,color,pk,Rosa,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-PKPV,upper_material,pv,PVC/Vinilo,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-PKPV,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 05:44:06.334
107-3SLME,color,sl,Plateado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3SLME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3SLME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
107-3-SLPV,color,sl,Plateado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-SLPV,upper_material,pv,PVC/Vinilo,script:sku-suffix-attributes,2026-05-07 05:44:06.334
107-3-SLPV,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-102B-BKNU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-BKNU,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-BKNU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-102B-GOPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-KHNU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-KHNU,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-KHNU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-145-BENB,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-145-BENB,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-145-BENB,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-145-KHNB,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
