skuCode,categoryNumber,season,suffix,colorRawCode,materialRawCode,reason
083-WHKHPU,556,9,KHPU,KH,PU,UNKNOWN_COLOR
100105BK,557,2,05BK,05,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
100105GY,557,2,05GY,05,GY,UNKNOWN_COLOR;UNKNOWN_MATERIAL
100144BK,557,2,44BK,44,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
100144WH,557,2,44WH,44,WH,UNKNOWN_COLOR;UNKNOWN_MATERIAL
100185BK,557,2,85BK,85,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
100185DBN,557,2,5DBN,5D,BN,UNKNOWN_COLOR;UNKNOWN_MATERIAL
100295BK,557,2,95BK,95,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
100295BN,557,2,95BN,95,BN,UNKNOWN_COLOR;UNKNOWN_MATERIAL
107-2CPME,567,6,CPME,CP,ME,UNKNOWN_COLOR
107-2-CPSP,567,A,CPSP,CP,SP,UNKNOWN_COLOR
1130-102B-GOPU,558,2,GOPU,GO,PU,UNKNOWN_COLOR
1130-102B-KHNU,558,2,KHNU,KH,NU,UNKNOWN_COLOR
1130-145-KHNB,558,4,KHNB,KH,NB,UNKNOWN_COLOR
1130-146-KHPT,558,4,KHPT,KH,PT,UNKNOWN_COLOR
11305-9219-GOSP,558,2,GOSP,GO,SP,UNKNOWN_COLOR
113059-219-GOSP,558,4,GOSP,GO,SP,UNKNOWN_COLOR
11305-9219-LGSP,558,2,LGSP,LG,SP,UNKNOWN_COLOR
113059-219-LGSP,558,4,LGSP,LG,SP,UNKNOWN_COLOR
113059-219-PWSP,558,4,PWSP,PW,SP,UNKNOWN_COLOR
1130-5-BCKPU,558,4,CKPU,CK,PU,UNKNOWN_COLOR
1130-5-BLKPU,558,4,LKPU,LK,PU,UNKNOWN_COLOR
1130-5-CFPU,558,4,CFPU,CF,PU,UNKNOWN_COLOR
1130-5-CHPPU,558,4,HPPU,HP,PU,UNKNOWN_COLOR
1130-5-KHNU,558,2,KHNU,KH,NU,UNKNOWN_COLOR
1130-5-KHPU,558,4,KHPU,KH,PU,UNKNOWN_COLOR
1130-5-PWPU,558,4,PWPU,PW,PU,UNKNOWN_COLOR
1130-5-PWSP,558,4,PWSP,PW,SP,UNKNOWN_COLOR
1130-85-BLKME,558,4,LKME,LK,ME,UNKNOWN_COLOR
1130-85-DCFPU,558,4,CFPU,CF,PU,UNKNOWN_COLOR
1130-85-GOME,558,2,GOME,GO,ME,UNKNOWN_COLOR
1130-85-PTME,558,4,PTME,PT,ME,UNKNOWN_COLOR
1130-85-PWME,558,2,PWME,PW,ME,UNKNOWN_COLOR
1156BK,593,5,56BK,56,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
1257CMLNB,557,2,MLNB,ML,NB,UNKNOWN_COLOR
160148BK,556,6,48BK,48,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
160148DN,556,6,48DN,48,DN,UNKNOWN_COLOR
160148OFWH,556,6,OFWH,OF,WH,UNKNOWN_COLOR;UNKNOWN_MATERIAL
160151BL,556,2,51BL,51,BL,UNKNOWN_COLOR;UNKNOWN_MATERIAL
160151PK,556,2,51PK,51,PK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
160151WH,556,2,51WH,51,WH,UNKNOWN_COLOR;UNKNOWN_MATERIAL
160153LI,556,2,53LI,53,LI,UNKNOWN_COLOR;UNKNOWN_MATERIAL
160153PK,556,2,53PK,53,PK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
160153WH,556,2,53WH,53,WH,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16111UBE,567,8,1UBE,1U,BE,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16111UBK,567,8,1UBK,1U,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16111UGD,567,8,1UGD,1U,GD,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16111UND,567,8,1UND,1U,ND,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16112UBE,567,8,2UBE,2U,BE,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16112UBK,567,8,2UBK,2U,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16112UND,567,8,2UND,2U,ND,UNKNOWN_COLOR;UNKNOWN_MATERIAL
16112USL,567,8,2USL,2U,SL,UNKNOWN_COLOR;UNKNOWN_MATERIAL
1683KHPU,585,7,KHPU,KH,PU,UNKNOWN_COLOR
1685KHPU,585,7,KHPU,KH,PU,UNKNOWN_COLOR
1686KHPU,585,7,KHPU,KH,PU,UNKNOWN_COLOR
18093E9BK,567,7,E9BK,E9,BK,UNKNOWN_COLOR;UNKNOWN_MATERIAL
18093E9CML,567,7,9CML,9C,ML,UNKNOWN_COLOR;UNKNOWN_MATERIAL
18093E9WH,567,7,E9WH,E9,WH,UNKNOWN_COLOR;UNKNOWN_MATERIAL
1836-9-KHSD,576,C,KHSD,KH,SD,UNKNOWN_COLOR
1890-1A-TPPT,567,2,TPPT,TP,PT,UNKNOWN_COLOR
1895-1B-TPPT,567,2,TPPT,TP,PT,UNKNOWN_COLOR
1895-243CPPU,567,6,CPPU,CP,PU,UNKNOWN_COLOR
2008-WHOLPU,556,1,OLPU,OL,PU,UNKNOWN_COLOR
20133ACHLLTT},558,1,LTT},,,NONSTANDARD_SUFFIX
20262CPTE,567,B,CPTE,CP,TE,UNKNOWN_COLOR
20265CPTE,567,B,CPTE,CP,TE,UNKNOWN_COLOR
20267BKLN,568,8,BKLN,BK,LN,UNKNOWN_MATERIAL
20267GDLN,568,8,GDLN,GD,LN,UNKNOWN_MATERIAL
20267SLLN,568,8,SLLN,SL,LN,UNKNOWN_MATERIAL
20269CPME,585,B,CPME,CP,ME,UNKNOWN_COLOR
